Key,Name_EN,Name_TH,Desc_EN,Desc_TH,MaxCount,Unlocks
ACH_WHOS_THE_PREY_NOW,Who's the Prey Now,,Defeat 70 Hunters.,,70,Gem_E_Predation
ACH_DECEIVING_LOOKS,Deceiving Looks,,Defeat 10 Heroic Bosses as Aurena.,,10,St_D_BeautifulThreat
ACH_HORNS_FEATHERS_AND_GOLD,"Horns, Feathers, and Gold",,"Heal yourself or allies for a total of 25,000 Health.",,25000,Hero_Aurena
ACH_IMMORTALITY_ACHIEVED,Immortality Achieved,,Cast Golden Explosion 9 times within 5 seconds as Aurena.,,1,St_Q_Reduction
ACH_OVERFLOWING_HEALS,Overflowing Healing,,"As Aurena, fully restore your Health in one use of Dangerous Theory when your Health is below 40%.",,1,St_R_ChainReaction
ACH_DOUBLE_VISION,Double Vision,,"Deal a total of 250,000 Dark damage to enemies as Bismuth.",,250000,St_QR_DistortedMind
ACH_LIKE_A_BREEZE,A Piece of Cake,,Defeat a Heroic Boss without taking any damage as Bismuth.,,1,St_QR_InfernalTales
ACH_LOOK_RAINBOW,Look! A Rainbow!,,Enter the Pure White Dream as Bismuth.,,1,St_QR_ValiantHeart
ACH_ONCE_UPON_A_TIME,Once Upon a Time,,Keep any Traveler's Movement Speed above 900 for 3 seconds.,,1,Hero_Bismuth
ACH_REACTIVATED,Reactivated,,Breathe life into the wooden doll.,,1,Hero_Husk
ACH_BFR_9000,BFR 9000,,Reach 120 Attack Damage with Lacerta.,,1,St_D_DoubleTap
ACH_JUST_LIKE_THE_OLD_DAYS,Just Like the Old Days,,Defeat the Heroic Boss 5 times as Lacerta.,,5,St_Q_IncendiaryRounds
ACH_UNTOUCHABLE,Untouchable,,Defeat the Heroic Boss with 85% or more Health remaining as Lacerta.,,1,St_R_PrecisionShot
ACH_GO_WITH_THE_FLOW,Go with the Flow,,Defeat 60 enemies in a row without taking damage as Mist.,,1,St_R_Parry
ACH_KING_OF_THE_ELEMENTALS,Elemental Lord,,Defeat any elemental 75 times as Mist.,,75,St_Q_Fleche
ACH_VINE_IN_CREVICES,Thorny Vines Between the Rocks,,Defeat Belphomet within 2 minutes of starting an adventure as Mist.,,1,St_D_AstridsMasterpiecePriorite
ACH_FULL_MOON,Full Moon,,Enter the Pure White Dream 2 times as Nachia.,,2,St_Q_MoonlightPact
ACH_SIBLING_FIGHT,Family Feud,,"As Nachia, defeat the Demon of the Forest within 6 seconds after dealing the first damage.",,1,St_R_SerpentineBlessing
ACH_THE_CYCLE_OF_REBIRTH,Reincarnation,,"As Nachia, defeat a Guardian of Impermanence without taking any damage.",,1,St_D_CircleOfLife
ACH_THE_TRUE_FOREST_SOVEREIGN,The True Ruler of the Forest,,Defeat the Demon of the Forest 12 times.,,12,Hero_Nachia
ACH_HOTTER_FIRE_WINS,Hotter Fire Wins,,Defeat the Burning Giant as Vesper while holding 3 or more Fire Memories.,,1,St_R_BaptismOfSun
ACH_MASTER_OF_HAMMER,Master of the Hammer,,Perform 9 basic attacks within 5 seconds using Vesper.,,1,St_D_MercyOfEl
ACH_PEAK_PERFORMANCE,Peak Performance,,Have 3 Dash or Teleport Memories at once as Vesper.,,1,St_Q_Discipline
ACH_RAGE_WITHOUT_BOUNDS,Boundless Rage,,Reach the Starry Dream.,,1,Hero_Vesper
ACH_NIGHT_OF_COUNTING_THE_STARS,Night of Counting the Stars,,Reach 140 Ability Power with Yubar.,,1,St_Q_SuperNova
ACH_ODE_TO_THE_STARS,Ode to the Stars,,Reach 55 Attack Damage with Yubar.,,1,St_D_ConvergencePoint
ACH_PEACE_AMID_THE_STORM,Peace Amid the Storm,,"Deal a total of 400,000 Light damage to enemies as Yubar.",,400000,St_R_Tranquility
ACH_PURE_IMAGINATION,Pure Imagination,,Acquire a total of 450 Dream Dust.,,450,Hero_Yubar
ACH_BARE_SKIN_SUPREMACY,Naked and Unafraid,,Enter the Pure White Dream 2 time(s) without receiving or granting any shields.,,2,LucidDream_FishScales
ACH_EMBRACE_MORTALITY,Embrace Mortality,,Get cursed 6 times in a single adventure.,,1,LucidDream_EmbraceMortality
ACH_EMPRESS_OF_PAIN,Empress of Pain,,Get cursed a total of 3 times in World 5 or beyond.,,1,LucidDream_MarshOfDestiny
ACH_FEELS_LIKE_HOME,Feels Like Home,,Visit 12 rooms occupied by Hunters in a single adventure.,,1,LucidDream_WILD
ACH_HUNTERS_WHAT_HUNTERS,Hunters? What Hunters?,,Enter the Pure White Dream 3 times without slaying any Hunters.,,3,LucidDream_BonVoyage
ACH_MASTER_OF_EVASION,Master of Evasion,,Complete the Forest of Turbulence without taking any damage from enemies.,,1,LucidDream_MadLife
ACH_M_M_M_MONSTER_KILL,M-M-M-MONSTER KILL!,,Land a finishing blow on 16 or more enemies with a single Memory cast.,,1,LucidDream_Overpopulation
ACH_NO_NEED_FOR_YOUR_HELP,I've Got This!,,Enter the Pure White Dream 2 times without using the Shrine of Guidance.,,2,LucidDream_SparklingDreamFlask
ACH_PRAYER_FOR_THE_DREAMERS,Prayer for the Dreamers,,Enter a new location 12 times while your health is at or below 40% in a single run.,,1,LucidDream_FalseLifeline
ACH_VIVID_DREAM,Vivid Dream,,Enter the Pure White Dream on Nightmare difficulty.,,1,LucidDream_GrievousWounds
ACH_WHY_YOU_BULLY_ME,Why You Bully Me?,,Scare or defeat the Merchant 20 times.,,20,LucidDream_TheDarkestUrge
ACH_WRIST_FRIENDLY_BUILD,Wrist-Friendly Build,,Enter Pure White Dream with 4 active Memories that have a cooldown of 6 seconds or longer.,,1,LucidDream_PrudentJellyfish
